0,00;0,00;1,00;0,00
0,10;0,10;1,00;0,00
0,20;0,20;0,98;0,00
0,30;0,30;0,96;0,00
0,40;0,39;0,92;0,00
0,50;0,48;0,88;0,00
0,60;0,56;0,83;0,00
0,70;0,64;0,76;0,00
0,80;0,72;0,70;0,00
0,90;0,78;0,62;0,00
1,00;0,84;0,54;0,00
1,10;0,89;0,45;0,00
1,20;0,93;0,36;0,00
1,30;0,96;0,27;0,00
1,40;0,99;0,17;0,00
1,50;1,00;0,07;0,00
1,60;1,00;-0,03;0,00
1,70;0,99;-0,13;0,00
1,80;0,97;-0,23;0,00
1,90;0,95;-0,32;0,00
2,00;0,91;-0,42;0,00
2,10;0,86;-0,50;0,00
2,20;0,81;-0,59;0,00
2,30;0,75;-0,67;0,00
2,40;0,68;-0,74;0,00
2,50;0,60;-0,80;0,00
2,60;0,52;-0,86;0,00
2,70;0,43;-0,90;0,00
2,80;0,33;-0,94;0,00
2,90;0,24;-0,97;0,00
3,00;0,14;-0,99;0,00
3,10;0,04;-1,00;0,00
3,20;-0,06;-1,00;0,00
3,30;-0,16;-0,99;0,00
3,40;-0,26;-0,97;0,00
3,50;-0,35;-0,94;0,00
3,60;-0,44;-0,90;0,00
3,70;-0,53;-0,85;0,00
3,80;-0,61;-0,79;0,00
3,90;-0,69;-0,73;0,00
4,00;-0,76;-0,65;0,00
4,10;-0,82;-0,57;0,00
4,20;-0,87;-0,49;0,00
4,30;-0,92;-0,40;0,00
4,40;-0,95;-0,31;0,00
4,50;-0,98;-0,21;0,00
4,60;-0,99;-0,11;0,00
4,70;-1,00;-0,01;0,00
4,80;-1,00;0,09;0,00
4,90;-0,98;0,19;0,00
5,00;-0,96;0,28;0,00
5,10;-0,93;0,38;0,00
5,20;-0,88;0,47;0,00
5,30;-0,83;0,55;0,00
5,40;-0,77;0,63;0,00
5,50;-0,71;0,71;0,00
5,60;-0,63;0,78;0,00
5,70;-0,55;0,83;0,00
5,80;-0,46;0,89;0,00
5,90;-0,37;0,93;0,00
6,00;-0,28;0,96;0,00
6,10;-0,18;0,98;0,00
6,20;-0,08;1,00;0,00
6,30;0,02;1,00;0,00
6,40;0,12;0,99;0,00
6,50;0,22;0,98;0,00
6,60;0,31;0,95;0,00
6,70;0,40;0,91;0,00
6,80;0,49;0,87;0,00
6,90;0,58;0,82;0,00
7,00;0,66;0,75;0,00
7,10;0,73;0,68;0,00
7,20;0,79;0,61;0,00
7,30;0,85;0,53;0,00
7,40;0,90;0,44;0,00
7,50;0,94;0,35;0,00
7,60;0,97;0,25;0,00
7,70;0,99;0,15;0,00
7,80;1,00;0,05;0,00
7,90;1,00;-0,05;0,00
8,00;0,99;-0,15;0,00
8,10;0,97;-0,24;0,00
8,20;0,94;-0,34;0,00
8,30;0,90;-0,43;0,00
8,40;0,85;-0,52;0,00
